PriceList,Catalog,GradeGroup,Price
ufca 1711e v3,30216-01,10,600
ufca 1711e v3,30216-01,20,700.0
ufca 1711e v3,30216-01,30,800.0
ufca 1711e v3,30216-01,40,900.0
ufca 1711e v3,30216-01,50,1000.0
ufca 1711e v3,30216-01,60,1100.0
ufca 1711e v3,30216-01,F,1400.0
ufca 1711e v3,30216-01,I,1500.0
ufca 1711e v3,30216-02,10,1600
ufca 1711e v3,30216-02,20,1700.0
ufca 1711e v3,30216-02,30,1800.0
ufca 1711e v3,30216-02,40,1900.0
ufca 1711e v3,30216-02,50,2000.0
ufca 1711e v3,30216-02,60,2100.0
ufca 1711e v3,30216-02,F,2400.0
ufca 1711e v3,30216-02,I,2500.0
ufca 1711e v3,30216-03,10,2600
ufca 1711e v3,30216-03,20,2700.0
ufca 1711e v3,30216-03,30,2800.0
ufca 1711e v3,30216-03,40,2900.0
ufca 1711e v3,30216-03,50,3000.0
ufca 1711e v3,30216-03,60,3100.0
ufca 1711e v3,30216-03,F,3400.0
ufca 1711e v3,30216-03,I,3500.0
ufca 1711e v3,30216-04,10,3600
ufca 1711e v3,30216-04,20,3700.0
ufca 1711e v3,30216-04,30,3800.0
ufca 1711e v3,30216-04,40,3900.0
ufca 1711e v3,30216-04,50,4000.0
ufca 1711e v3,30216-04,60,4100.0
ufca 1711e v3,30216-04,F,4400.0
ufca 1711e v3,30216-04,I,4500.0
ufca 1711e v3,30216-24,10,4600
ufca 1711e v3,30216-24,20,4700.0
ufca 1711e v3,30216-24,30,4800.0
ufca 1711e v3,30216-24,40,4900.0
ufca 1711e v3,30216-24,50,5000.0
ufca 1711e v3,30216-24,60,5100.0
ufca 1711e v3,30216-24,F,5400.0
ufca 1711e v3,30216-24,I,5500.0
ufca 1711e v3,30216-S3,10,5600
ufca 1711e v3,30216-S3,20,5700.0
ufca 1711e v3,30216-S3,30,5800.0
ufca 1711e v3,30216-S3,40,5900.0
ufca 1711e v3,30216-S3,50,6000.0
ufca 1711e v3,30216-S3,60,6100.0
ufca 1711e v3,30216-S3,F,6400.0
ufca 1711e v3,30216-S3,I,6500.0
ufca 1711e v4,37216-01,100,1000.0
ufca 1711e v4,37216-01,200,2000.0
ufca 1711e v4,37216-01,300,3000.0
ufca 1711e v4,37216-01,400,4000.0
ufca 1711e v4,37216-01,500,5000.0
ufca 1711e v4,37216-01,600,6000.0
ufca 1711e v4,37216-01,700,7000.0
ufca 1711e v4,37216-01,800,8000.0
ufca 1711e v4,37216-02,100,1100.0
ufca 1711e v4,37216-02,200,2500.0
ufca 1711e v4,37216-02,300,4000.0
ufca 1711e v4,37216-02,400,5500.0
ufca 1711e v4,37216-02,500,7000.0
ufca 1711e v4,37216-02,600,8500.0
ufca 1711e v4,37216-02,700,10000.0
ufca 1711e v4,37216-02,800,11500.0
ufca 1711e v4,37216-03,100,1200.0
ufca 1711e v4,37216-03,200,2300.0
ufca 1711e v4,37216-03,300,3600.0
ufca 1711e v4,37216-03,400,4900.0
ufca 1711e v4,37216-03,500,6200.0
